userID,movieID,prediction
1,100,4.781638622
1,65,4.663650513
1,99,4.780515671
1,1104,4.773126125
1,1418,4.631241322
1,1488,4.572424412
1,1521,4.615706444
1,1575,4.508590698
1,1583,4.670786381
1,1546,4.721340179
2,127,4.84250927
2,285,4.912140369
2,293,4.671541214
2,1075,4.756574631
2,1104,4.694785595
2,1363,4.869319439
2,1559,4.84642458
2,1546,4.736427307
2,1603,4.701435566
2,1609,4.720936775
3,348,4.981149197
3,331,4.938062668
3,838,4.830306053
3,1104,4.908305645
3,1233,4.859647274
3,1476,4.852667809
3,1482,4.714921951
3,1546,4.745698452
3,1616,4.729281425
3,1641,4.847827911
4,361,4.886320591
4,360,4.94740057
4,904,4.826646328
4,1104,4.905731201
4,1201,4.80442667
4,1449,4.812247276
4,1499,4.805979729
4,1575,4.721022129
4,1546,4.92346859
4,1609,4.752193928
5,163,4.648274899
5,139,4.810330391
5,50,4.689683437
5,423,4.726725578
5,390,4.67001152
5,1137,4.609261513
5,1363,4.806368351
5,1456,4.63415575
5,1559,4.707999706
5,1546,4.927364349
6,131,4.762750626
6,98,4.792234421
6,512,4.839888096
6,491,4.793337345
6,489,4.726957798
6,462,4.764972687
6,469,4.940202713
6,861,4.681892872
6,1574,4.811649799
6,1546,4.694943905
7,334,4.710813522
7,657,4.541470051
7,644,4.821573257
7,659,4.67414856
7,784,4.820681572
7,1147,4.573103905
7,1559,4.551598072
7,1577,4.537827492
7,1609,4.930751324
7,1630,4.644661903
8,195,4.74506855
8,50,4.967478275
8,22,4.673829556
8,338,4.908474922
8,838,4.833222389
8,1418,4.844490051
8,1528,4.702399254
8,1577,4.703524113
8,1546,4.988618851
8,1609,4.923875332
9,146,4.746172428
9,286,4.907818794
9,276,4.863081932
9,385,4.748020649
9,1521,4.834973812
9,1574,4.926162243
9,1545,4.732765198
9,1546,4.942682266
9,1609,4.729561329
9,1653,4.735491276
10,34,4.72006464
10,285,4.750956535
10,497,4.621098518
10,654,4.853699207
10,707,4.713596344
10,1201,4.797626019
10,1290,4.756138325
10,1424,4.680503845
10,1616,4.669757366
10,1680,4.841231823
11,663,4.820912361
11,838,4.751177311
11,851,4.584263802
11,1043,4.673348427
11,1261,4.840476513
11,1371,4.624778271
11,1363,4.671827793
11,1472,4.64065218
11,1559,4.750937939
11,1546,4.738171101
12,191,4.888667583
12,96,4.740534782
12,735,4.806890488
12,753,4.945930004
12,1031,4.657630444
12,1191,4.725805283
12,1418,4.752931118
12,1445,4.795550823
12,1559,4.696835995
12,1647,4.731240749
13,228,4.447905064
13,204,4.436095238
13,315,4.421597004
13,331,4.814234734
13,663,4.426382065
13,793,4.632788658
13,776,4.641060829
13,1318,4.529592514
13,1546,4.497424603
13,1680,4.390416622
14,213,4.70937109
14,238,4.745822906
14,302,4.76597023
14,374,4.784566879
14,509,4.796551704
14,859,4.714928627
14,1300,4.767170429
14,1385,4.913243294
14,1559,4.773077011
14,1630,4.849430084
15,500,4.811750412
15,914,4.863683224
15,935,4.858292103
15,1104,4.902322769
15,1261,4.790528297
15,1432,4.782667637
15,1574,4.751907349
15,1609,4.791833878
15,1641,4.756135464
15,1674,4.809879303
16,4,4.720077515
16,127,4.946704865
16,92,4.758513927
16,498,4.719188213
16,942,4.848497391
16,1155,4.773190022
16,1191,4.769946098
16,1201,4.905474663
16,1361,4.913863659
16,1546,4.678584099
17,126,4.696678162
17,982,4.718522072
17,1104,4.714434147
17,1476,4.674008369
17,1501,4.780320644
17,1559,4.920826435
17,1546,4.792000771
17,1609,4.893525124
17,1619,4.660320759
17,1674,4.633887291
18,221,4.844620228
18,52,4.848749638
18,286,4.699564457
18,500,4.728572845
18,716,4.691682816
18,842,4.602847099
18,1418,4.692614555
18,1577,4.824901104
18,1546,4.806809902
18,1547,4.635052681
19,325,4.939772129
19,435,4.837937355
19,1351,4.711573124
19,1418,4.902746677
19,1461,4.783836842
19,1557,4.864088058
19,1559,4.645549774
19,1545,4.855055809
19,1609,4.670081615
19,1616,4.741290092
20,148,4.915269852
20,98,4.724720001
20,970,4.83960247
20,1358,4.724573135
20,1537,4.845945358
20,1559,4.792890072
20,1574,4.767899036
20,1546,4.723959923
20,1616,4.911867619
20,1674,4.838549614
21,127,4.868264198
21,98,4.72160387
21,273,4.80855608
21,671,4.643034458
21,1031,4.649582386
21,1189,4.721815586
21,1358,4.596131325
21,1438,4.666556835
21,1547,4.673193932
21,1600,4.600160122
22,144,4.646264076
22,204,4.711012363
22,732,4.723339558
22,1031,4.760647774
22,1104,4.721621037
22,1394,4.820768356
22,1538,4.73056078
22,1546,4.895430565
22,1547,4.704236507
22,1630,4.831568718
23,124,4.661486626
23,381,4.911863327
23,421,4.657979965
23,718,4.653559208
23,856,4.859640598
23,970,4.697090626
23,1104,4.912990093
23,1122,4.835640907
23,1609,4.651923656
23,1680,4.786648273
24,191,4.76550436
24,9,4.774742603
24,200,4.9179039
24,64,4.717015743
24,8,4.774732113
24,1080,4.796904564
24,1345,4.749088764
24,1465,4.792424679
24,1559,4.926319599
24,1637,4.741405964
25,173,4.952255249
25,189,4.902817249
25,186,4.969204903
25,430,4.858665943
25,1066,4.822210789
25,1104,4.986185074
25,1261,4.855327129
25,1545,4.90712595
25,1546,4.807964325
25,1647,4.835951805
26,37,4.831996441
